epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,4020.46,0.82053,0.3343,0.99781,0.99462,0.99762,0.9948,0.73846,0.86999,0.31446,1.00175,0.000533017,0.000533017,0.000533017
78,4141,0.82544,0.33302,0.99873,0.99609,0.99678,0.9948,0.7349,0.86306,0.31142,1.00202,0.000521228,0.000521228,0.000521228
79,4261.8,0.8127,0.32558,1.00061,0.99626,0.99769,0.99483,0.73813,0.8562,0.31146,1.02295,0.000509438,0.000509438,0.000509438
80,4382.43,0.8144,0.32818,1.00257,0.99486,0.99885,0.9947,0.73812,0.85908,0.31493,1.0224,0.000497649,0.000497649,0.000497649
81,4502.87,0.81308,0.32774,1.0011,0.99638,0.9984,0.99493,0.73678,0.85997,0.31088,1.00372,0.00048586,0.00048586,0.00048586
82,4623.63,0.81364,0.32507,1.00135,0.99679,0.99803,0.99492,0.74399,0.85813,0.30741,1.01231,0.000474071,0.000474071,0.000474071
83,4744.19,0.81265,0.32593,0.99704,0.99696,0.99801,0.99494,0.73937,0.85039,0.30544,0.99744,0.000462281,0.000462281,0.000462281
84,4864.77,0.8056,0.32202,0.99393,0.99655,0.99806,0.99491,0.74196,0.84902,0.30426,1.00049,0.000450492,0.000450492,0.000450492
85,4985.35,0.8156,0.3251,0.99609,0.99639,0.99751,0.99494,0.74285,0.85327,0.30402,1.00679,0.000438703,0.000438703,0.000438703
86,5105.86,0.80796,0.32189,0.99281,0.99715,0.99693,0.99492,0.74652,0.84468,0.30323,1.01091,0.000426914,0.000426914,0.000426914
87,5226.95,0.80925,0.32085,0.99487,0.99643,0.99803,0.99494,0.74256,0.85318,0.30701,0.99386,0.000415124,0.000415124,0.000415124
88,5347.39,0.81307,0.32255,0.99119,0.99651,0.99806,0.99489,0.74287,0.85261,0.30195,0.99534,0.000403335,0.000403335,0.000403335
89,5468.08,0.81168,0.32241,0.99655,0.99641,0.99833,0.99496,0.74518,0.84474,0.30023,1.00624,0.000391546,0.000391546,0.000391546
90,5588.65,0.81195,0.32204,1.00016,0.99683,0.99737,0.9949,0.74704,0.84228,0.30156,1.01473,0.000379757,0.000379757,0.000379757
91,5709.28,0.80677,0.32039,0.99679,0.99725,0.99625,0.99486,0.74229,0.84656,0.30105,1.0226,0.000367967,0.000367967,0.000367967
92,5829.82,0.80645,0.31855,0.99721,0.99646,0.99645,0.99488,0.74799,0.85069,0.30071,1.00254,0.000356178,0.000356178,0.000356178
93,5950.67,0.80644,0.31828,0.9924,0.99677,0.99825,0.99493,0.74399,0.84926,0.29953,1.01064,0.000344389,0.000344389,0.000344389
94,6071.36,0.81103,0.31868,1.00433,0.99691,0.99788,0.99491,0.74299,0.85004,0.30409,1.03032,0.0003326,0.0003326,0.0003326
95,6192,0.80614,0.31896,0.99943,0.99633,0.99776,0.99493,0.74469,0.84418,0.30047,1.01543,0.00032081,0.00032081,0.00032081
96,6312.66,0.80454,0.31551,0.99663,0.99637,0.99842,0.99492,0.74154,0.84275,0.29983,1.02543,0.000309021,0.000309021,0.000309021
97,6433.39,0.79639,0.31477,0.98922,0.99682,0.99798,0.99488,0.74561,0.84552,0.29869,1.01682,0.000297232,0.000297232,0.000297232
98,6554.05,0.80163,0.31573,0.99701,0.99626,0.99704,0.99485,0.75009,0.84581,0.30242,1.03063,0.000285443,0.000285443,0.000285443
99,6674.89,0.80275,0.31417,0.99792,0.99651,0.99685,0.99488,0.74486,0.8454,0.29631,1.01582,0.000273654,0.000273654,0.000273654
100,6795.56,0.79598,0.31267,0.98785,0.99609,0.99762,0.99488,0.74564,0.84315,0.29601,1.00826,0.000261864,0.000261864,0.000261864
101,6916.08,0.79576,0.31208,0.98861,0.99641,0.99755,0.99488,0.74568,0.84377,0.29554,1.01711,0.000250075,0.000250075,0.000250075
102,7036.8,0.79695,0.3106,0.9881,0.99666,0.99717,0.99484,0.74334,0.84988,0.29452,1.00631,0.000238286,0.000238286,0.000238286
103,7157.29,0.79539,0.31161,0.98955,0.99618,0.99794,0.99485,0.7478,0.84152,0.29345,1.01978,0.000226497,0.000226497,0.000226497
104,7277.84,0.79439,0.31003,0.98872,0.99623,0.99798,0.99479,0.74545,0.84226,0.29469,1.01363,0.000214707,0.000214707,0.000214707
105,7398.52,0.79498,0.30888,0.99029,0.99642,0.99797,0.99485,0.74827,0.84463,0.29257,1.01869,0.000202918,0.000202918,0.000202918
106,7521.67,0.78923,0.30673,0.99471,0.99696,0.99815,0.99492,0.74323,0.84804,0.29403,1.01105,0.000191129,0.000191129,0.000191129
107,7644.85,0.78352,0.30382,0.98513,0.99659,0.99748,0.99488,0.74941,0.83772,0.28851,0.99964,0.00017934,0.00017934,0.00017934
108,7765.76,0.78894,0.30763,0.99206,0.99697,0.99733,0.99487,0.74479,0.84336,0.29125,1.00691,0.00016755,0.00016755,0.00016755
109,7886.67,0.7859,0.30531,0.98276,0.9967,0.99762,0.99486,0.75128,0.83712,0.29098,1.02067,0.000155761,0.000155761,0.000155761
110,8007.75,0.78834,0.30538,0.99141,0.9966,0.99773,0.99481,0.75036,0.84056,0.29177,1.02489,0.000143972,0.000143972,0.000143972
111,8140.47,0.80257,0.28678,0.98222,0.99595,0.99808,0.99478,0.74507,0.84333,0.29469,1.02655,0.000132183,0.000132183,0.000132183
112,8261.63,0.80242,0.2873,0.98001,0.99638,0.99796,0.99472,0.74475,0.84628,0.29365,1.02031,0.000120393,0.000120393,0.000120393
113,8382.49,0.79966,0.28516,0.97916,0.99625,0.99798,0.99468,0.74356,0.84441,0.29069,1.01122,0.000108604,0.000108604,0.000108604
114,8503.33,0.80114,0.2851,0.9749,0.99598,0.99786,0.99466,0.74219,0.84078,0.29125,1.01504,9.68148e-05,9.68148e-05,9.68148e-05
115,8624.25,0.79577,0.28235,0.97231,0.99626,0.99818,0.99465,0.74511,0.84041,0.29003,1.00427,8.50255e-05,8.50255e-05,8.50255e-05
116,8745.1,0.79519,0.28193,0.97549,0.99648,0.99814,0.99467,0.74505,0.83482,0.28886,1.00668,7.32362e-05,7.32362e-05,7.32362e-05
117,8866.28,0.79452,0.28095,0.97415,0.99644,0.99808,0.99476,0.74723,0.83546,0.28753,1.00469,6.1447e-05,6.1447e-05,6.1447e-05
118,8987.23,0.78987,0.2801,0.97426,0.99644,0.99808,0.9947,0.75016,0.83565,0.28782,1.0073,4.96578e-05,4.96578e-05,4.96578e-05
119,9108.24,0.78823,0.27993,0.96903,0.99641,0.9981,0.99466,0.7469,0.83456,0.28564,1.00135,3.78685e-05,3.78685e-05,3.78685e-05
120,9228.76,0.78617,0.28045,0.96939,0.99639,0.99811,0.99469,0.74739,0.83352,0.2854,1.00098,2.60792e-05,2.60792e-05,2.60792e-05
